Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
34.057838080,0,0,1,1,0,0,0,0
34.057866400,0,0,0,0,0,0,0,0
34.057888000,0,0,1,1,0,0,0,0
34.057916320,0,0,0,0,0,0,0,0
34.057937920,0,0,1,1,0,0,0,0
34.057966240,0,0,0,0,0,0,0,0
34.057987840,0,0,1,1,0,0,0,0
34.058016160,0,0,0,0,0,0,0,0
34.058037760,0,0,1,1,0,0,0,0
34.058066080,0,0,0,0,0,0,0,0
34.058087680,0,0,1,1,0,0,0,0
34.058116000,0,0,0,0,0,0,0,0
34.058137600,0,0,1,1,0,0,0,0
34.058165920,0,0,0,0,0,0,0,0
34.058187520,0,0,1,1,0,0,0,0
34.058215840,0,0,0,0,0,0,0,0
34.058237440,0,0,1,1,0,0,0,0
34.058265760,0,0,0,0,0,0,0,0
34.058287360,0,0,1,1,0,0,0,0
34.058315680,0,0,0,0,0,0,0,0
34.058337280,0,0,1,1,0,0,0,0
34.058365600,0,0,0,0,0,0,0,0
34.058387200,0,0,1,1,0,0,0,0
34.058415520,0,0,0,0,0,0,0,0
34.058437120,0,0,1,1,0,0,0,0
34.058465280,0,0,0,0,0,0,0,0
34.058487040,0,0,1,1,0,0,0,0
34.058515200,0,0,0,0,0,0,0,0
34.058536960,0,0,1,1,0,0,0,0
34.058565120,0,0,0,0,0,0,0,0
34.058586880,0,0,1,1,0,0,0,0
34.058615040,0,0,0,0,0,0,0,0
34.058636800,0,0,1,1,0,0,0,0
34.058664960,0,0,0,0,0,0,0,0
34.058686720,0,0,1,1,0,0,0,0
34.058714880,0,0,0,0,0,0,0,0
34.058736640,0,0,1,1,0,0,0,0
34.058764800,0,0,0,0,0,0,0,0
34.058786400,0,0,1,1,0,0,0,0
34.058814720,0,0,0,0,0,0,0,0
34.058836320,0,0,1,1,0,0,0,0
34.058864640,0,0,0,0,0,0,0,0
34.058886240,0,0,1,1,0,0,0,0
34.058914560,0,0,0,0,0,0,0,0
34.058936160,0,0,1,1,0,0,0,0
34.058964480,0,0,0,0,0,0,0,0
34.058986080,0,0,1,1,0,0,0,0
34.059014400,0,0,0,0,0,0,0,0
34.059036000,0,0,1,1,0,0,0,0
34.059064320,0,0,0,0,0,0,0,0
34.059085920,0,0,1,1,0,0,0,0
34.059114080,0,0,0,0,0,0,0,0
34.059135840,0,0,1,1,0,0,0,0
34.059164000,0,0,0,0,0,0,0,0
34.059185760,0,0,1,1,0,0,0,0
34.059213920,0,0,0,0,0,0,0,0
34.059235520,0,0,1,1,0,0,0,0
34.059263840,0,0,0,0,0,0,0,0
34.059285440,0,0,1,1,0,0,0,0
34.059313760,0,0,0,0,0,0,0,0
34.059335360,0,0,1,1,0,0,0,0
34.059363680,0,0,0,0,0,0,0,0
34.059385280,0,0,1,1,0,0,0,0
34.059413600,0,0,0,0,0,0,0,0
34.059435200,0,0,1,1,0,0,0,0
34.059463520,0,0,0,0,0,0,0,0
34.059485120,0,0,1,1,0,0,0,0
34.059513280,0,0,0,0,0,0,0,0
34.059535040,0,0,1,1,0,0,0,0
34.059563200,0,0,0,0,0,0,0,0
34.059584800,0,0,1,1,0,0,0,0
34.059613120,0,0,0,0,0,0,0,0
34.059634720,0,0,1,1,0,0,0,0
34.059663040,0,0,0,0,0,0,0,0
34.059684640,0,0,1,1,0,0,0,0
34.059712960,0,0,0,0,0,0,0,0
34.059734560,0,0,1,1,0,0,0,0
34.059762880,0,0,0,0,0,0,0,0
34.059784480,0,0,1,1,0,0,0,0
34.059812800,0,0,0,0,0,0,0,0
34.059834400,0,0,1,1,0,0,0,0
34.059862720,0,0,0,0,0,0,0,0
34.059884320,0,0,1,1,0,0,0,0
34.059912640,0,0,0,0,0,0,0,0
34.059934240,0,0,1,1,0,0,0,0
34.059962560,0,0,0,0,0,0,0,0
34.059984160,0,0,1,1,0,0,0,0
34.060012480,0,0,0,0,0,0,0,0
34.060034080,0,0,1,1,0,0,0,0
34.060062400,0,0,0,0,0,0,0,0
34.060084000,0,0,1,1,0,0,0,0
34.060112320,0,0,0,0,0,0,0,0
34.060133920,0,0,1,1,0,0,0,0
34.060162240,0,0,0,0,0,0,0,0
34.060183840,0,0,1,1,0,0,0,0
34.060212160,0,0,0,0,0,0,0,0
34.060233760,0,0,1,1,0,0,0,0
34.060261920,0,0,0,0,0,0,0,0
34.060283680,0,0,1,1,0,0,0,0
34.060311840,0,0,0,0,0,0,0,0
34.060333600,0,0,1,1,0,0,0,0
34.060361760,0,0,0,0,0,0,0,0
34.060383520,0,0,1,1,0,0,0,0
34.060411680,0,0,0,0,0,0,0,0
34.060433440,0,0,1,1,0,0,0,0
34.060461600,0,0,0,0,0,0,0,0
34.060483360,0,0,1,1,0,0,0,0
34.060511520,0,0,0,0,0,0,0,0
34.060533280,0,0,1,1,0,0,0,0
34.060561440,0,0,0,0,0,0,0,0
34.060583200,0,0,1,1,0,0,0,0
34.060611360,0,0,0,0,0,0,0,0
34.060632960,0,0,1,1,0,0,0,0
34.060661280,0,0,0,0,0,0,0,0
34.060682880,0,0,1,1,0,0,0,0
34.060711200,0,0,1,0,0,0,0,0
34.060711840,0,0,0,0,0,0,0,0
34.060732800,0,1,0,1,0,0,0,0
34.060761120,0,0,0,0,0,0,0,0
34.060782720,0,1,0,1,0,0,0,0
34.060811040,0,0,0,0,0,0,0,0
34.060832640,0,1,0,1,0,0,0,0
34.060860960,0,0,0,0,0,0,0,0
34.060882560,0,1,0,1,0,0,0,0
34.060910880,0,0,0,0,0,0,0,0
34.060932480,0,1,0,1,0,0,0,0
34.060932640,1,1,1,1,0,1,0,0
34.060932800,0,1,0,1,0,0,0,0
34.060960800,0,0,0,0,0,0,0,0
34.060982400,0,1,0,1,0,0,0,0
34.060982560,0,1,1,1,0,1,0,0
34.060982720,0,1,1,1,0,0,0,0
34.060983360,0,1,0,1,0,0,0,0
34.061010720,0,0,0,0,0,0,0,0
34.061032320,0,1,0,1,0,0,0,0
34.061032640,0,1,1,1,0,0,0,0
34.061033760,0,1,0,1,0,0,0,0
34.061060640,0,0,0,0,0,0,0,0
34.061082240,0,1,0,1,0,0,0,0
34.061082400,0,1,1,1,0,1,0,0
34.061082560,0,1,1,1,0,0,0,0
34.061083840,0,1,0,1,0,0,0,0
34.061110560,0,0,0,0,0,0,0,0
34.061132160,0,1,0,1,0,0,0,0
34.061132320,0,1,1,1,0,1,0,0
34.061132480,0,1,1,1,0,0,0,0
34.061133920,0,1,0,1,0,0,0,0
34.061160480,0,0,0,0,0,0,0,0
34.061182080,0,1,0,1,0,0,0,0
34.061182240,0,1,1,1,0,0,0,0
34.061183680,0,1,0,1,0,0,0,0
34.061210400,0,0,0,0,0,0,0,0
34.061232000,0,1,0,1,0,0,0,0
34.061232160,0,1,1,1,0,0,0,0
34.061233600,0,1,0,1,0,0,0,0
34.061260320,0,0,0,0,0,0,0,0
34.061281920,0,1,0,1,0,0,0,0
34.061282080,0,1,1,1,0,1,0,0
34.061282240,0,1,1,1,0,0,0,0
34.061283680,0,1,0,1,0,0,0,0
34.061310240,0,0,0,0,0,0,0,0
34.061331840,0,1,0,1,0,0,0,0
34.061332000,0,1,1,1,0,0,0,0
34.061333440,0,1,0,1,0,0,0,0
34.061360160,0,0,0,0,0,0,0,0
34.061381760,0,1,0,1,0,0,0,0
34.061381920,0,1,1,1,0,0,0,0
34.061383360,0,1,0,1,0,0,0,0
34.061410080,0,0,0,0,0,0,0,0
34.061431680,0,1,0,1,0,0,0,0
34.061431840,0,1,1,1,0,1,0,0
34.061432000,0,1,1,1,0,0,0,0
34.061433280,0,1,0,1,0,0,0,0
34.061459840,0,0,0,0,0,0,0,0
34.061481600,0,1,0,1,0,0,0,0
34.061481760,0,1,1,1,0,1,0,0
34.061481920,0,1,1,1,0,0,0,0
34.061483200,0,1,0,1,0,0,0,0
34.061509760,0,0,0,0,0,0,0,0
34.061531520,0,1,0,1,0,0,0,0
34.061531680,0,1,1,1,0,0,0,0
34.061533120,0,1,0,1,0,0,0,0
34.061559680,0,0,0,0,0,0,0,0
34.061581440,0,1,0,1,0,0,0,0
34.061581600,0,1,1,1,0,0,0,0
34.061581760,0,1,1,1,0,1,0,0
34.061581920,0,1,1,1,0,0,0,0
34.061583040,0,1,0,1,0,0,0,0
34.061609600,0,0,0,0,0,0,0,0
34.061631360,0,1,0,1,0,0,0,0
34.061631520,0,1,1,1,0,0,0,0
34.061631680,0,1,1,1,0,1,0,0
34.061631840,0,1,1,1,0,0,0,0
34.061632960,0,1,0,1,0,0,0,0
34.061659520,0,0,0,0,0,0,0,0
34.061681280,0,1,0,1,0,0,0,0
34.061681440,0,1,1,1,0,1,0,0
34.061681600,0,1,1,1,0,0,0,0
34.061682880,0,1,0,1,0,0,0,0
34.061709440,0,0,0,0,0,0,0,0
34.061731040,0,0,0,1,0,0,0,0
34.061731200,0,1,0,1,0,0,0,0
34.061731360,0,1,1,1,0,1,0,0
34.061731520,0,1,1,1,0,0,0,0
34.061732800,0,1,0,1,0,0,0,0
34.061759360,0,0,0,0,0,0,0,0
34.061780960,0,1,0,1,0,0,0,0
34.061781280,0,1,1,1,0,0,0,0
34.061782560,0,1,0,1,0,0,0,0
34.061809280,0,0,0,0,0,0,0,0
34.061830880,0,1,0,1,0,0,0,0
34.061831200,0,1,1,1,0,0,0,0
34.061832480,0,1,0,1,0,0,0,0
34.061853760,0,1,0,1,0,0,1,0
34.061859200,0,0,0,0,0,0,1,0
34.061876320,0,0,0,0,0,0,0,0
34.061880800,0,1,0,1,0,0,0,0
34.061881120,0,1,1,1,0,0,0,0
34.061882400,0,1,0,1,0,0,0,0
34.061903680,0,1,0,1,0,0,1,0
34.061909120,0,0,0,0,0,0,1,0
34.061926240,0,0,0,0,0,0,0,0
34.061930720,0,1,0,1,0,0,0,0
34.061931040,0,1,1,1,0,0,0,0
34.061932000,0,1,0,1,0,0,0,0
34.061953600,0,1,0,1,0,0,1,0
34.061959040,0,0,0,0,0,0,1,0
34.061976160,0,0,0,0,0,0,0,0
34.061980640,0,1,0,1,0,0,0,0
34.061980960,0,1,1,1,0,0,0,0
